2023-08-05 12:00:08,155 - all_stations - INFO - Training GWN models through walk-forward validation on a forecasting horizon of: 24
2023-08-05 12:06:15,315 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 146 - Actual: 0.3413897156715393, Predicted: 0.0990244522690773
2023-08-05 12:06:17,626 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 147 - Actual: 0.3262839913368225, Predicted: 0.20452482998371124
2023-08-05 12:06:19,946 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 148 - Actual: 0.3232628405094147, Predicted: 0.1343289166688919
2023-08-05 12:06:22,256 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 149 - Actual: 0.31419938802719116, Predicted: 0.07849597930908203
2023-08-05 12:06:24,570 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 150 - Actual: 0.3081570863723755, Predicted: 0.1706649214029312
2023-08-05 12:06:26,870 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 151 - Actual: 0.29909366369247437, Predicted: 0.2100379317998886
2023-08-05 12:06:29,206 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 152 - Actual: 0.29607251286506653, Predicted: 0.07739231735467911
2023-08-05 12:06:31,504 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 153 - Actual: 0.28096675872802734, Predicted: 0.19693312048912048
2023-08-05 12:06:33,778 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 154 - Actual: 0.24773414433002472, Predicted: 0.13431943953037262
2023-08-05 12:06:36,050 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 155 - Actual: 0.29003021121025085, Predicted: 0.11021824181079865
2023-08-05 12:06:38,432 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 156 - Actual: 0.3232628405094147, Predicted: 0.22529925405979156
2023-08-05 12:06:40,756 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 157 - Actual: 0.3262839913368225, Predicted: 0.18903662264347076
2023-08-05 12:06:43,042 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 158 - Actual: 0.36858007311820984, Predicted: 0.13840904831886292
2023-08-05 12:06:45,254 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 159 - Actual: 0.4501510560512543, Predicted: 0.17816263437271118
2023-08-05 12:06:47,457 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 160 - Actual: 0.5196374654769897, Predicted: 0.05540655553340912
